"ID","Title","Estimate","Expected Result","Preconditions","Priority","References","Section","Section Depth","Section Description","Section Hierarchy","Steps","Steps","Steps (Additional Info)","Steps (Expected Result)","Steps (References)","Steps (Shared step ID)","Steps (Step)","Suite","Suite ID","Type","Updated By","Updated On"
"C91","Email  с точкой перед @","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с точкой перед @","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:59 PM"
"C92","Email с двумя точками подряд в адресе","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с двумя точками подряд в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:59 PM"
"C93","Email с двумя точками подряд в домене","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с двумя точками подряд в домене","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 4:59 PM"
"C94","Email  с не латинскими буквами в адресе","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с не латинскими буквами в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:00 PM"
"C95","Email  с точкой перед доменом","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с точкой перед доменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:00 PM"
"C96","Email  со знаком “-” перед доменом","","Валидация не пройдена. Собщение об ошибке","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email со знаком “-” перед доменом","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:00 PM"
"C97","Email со знаками из группы < > ( ) [ ] @ , ; : \ / "" * в адресе","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email со знаками из группы &lt; &gt; ( ) [ ] @ , ; : \ / "" * в адресе","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:01 PM"
"C98","Email  с пробелом в середине адреса","","Валидация не пройдена. Собщение об ошибке ","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с пробелом в середине адреса","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:01 PM"
"C99","Email  с пробелом в начале адреса","","1. Валидация не пройдена. Собщение об ошибке в поле Логин
2. Лишний пробел удаляется системой. Валидация пройдена","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с пробелом в начале адреса","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:02 PM"
"C100","Email  с пробелом в конце адреса","","1. Валидация не пройдена. Собщение об ошибке в поле Логин
2. Лишний пробел удаляется системой. Валидация пройдена","1.Перейти по ссылке Забыли пароль? ","Medium","","Ввод невалидного Email","4","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Поле ввода email > Ввод невалидного Email","","1 Ввести в поле Email с пробелом в конце адреса","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:02 PM"
"C103","Наличие кнопки Продолжить","","Кнопка есть","1.Перейти по ссылке Забыли пароль? 
2.Открыть DevTools","Medium","","Кнопка Продолжить","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Продолжить","","1. Найти элемент кнопка Продолжить

","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:20 PM"
"C104","Правописание кнопки Продолжить","","Наименование кнопки указано верно и не имеет орфографических ошибок","1. Перейти по ссылке Забыли пароль? ","Medium","","Кнопка Продолжить","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Продолжить","","1. Проверить правописание кнопки Продолжить","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:13 PM"
"C105","Ховер эффект кнопки Продолжить","","Курсор мыши меняется на ""Рука""","1. Перейти по ссылке Забыли пароль? ","Low","","Кнопка Продолжить","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Продолжить","","1. Навести курсор на кнопку Продолжить","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:14 PM"
"C124","Наличие кнопки Отмена","","Кнопка есть","1.Перейти по ссылке Забыли пароль? 
2.Открыть DevTools","High","","Кнопка Отмена","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Отмена","","1. Найти элемент кнопка Отмена

","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:20 PM"
"C72","Работоспасобность кнопки Отмена","","Переход на форму авторизации","1.Перейти по ссылке Забыли пароль? 

","Medium","","Кнопка Отмена","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Отмена","","1. Нажать на кнопку Отмена","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:21 PM"
"C125","Правописание кнопки Отмена","","Наименование кнопки указано верно и не имеет орфографических ошибок","1. Перейти по ссылке Забыли пароль? ","Medium","","Кнопка Отмена","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Отмена","","1. Проверить правописание кнопки Отмена","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:22 PM"
"C126","Ховер эффект кнопки Отмена","","Курсор мыши меняется на ""Рука""","1. Перейти по ссылке Забыли пароль? ","Low","","Кнопка Отмена","3","","Главная страница платформы > Ссылка ""Забыли пароль? > Форма Сбросить пароль > Кнопка Отмена","","1. Навести курсор на кнопку Продолжить","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:22 PM"
"C13","Авторизация в ЛК .Поля логина и пароля не заполнены","","Сообщение об ошибке","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Low","","Авторизация в ЛК","1","","Главная страница платформы > Авторизация в ЛК","","1. Нажать кнопку Войти","","","","","","Master","S1","Smoke & Sanity","Maria Bondarenko","10/16/2022 3:28 PM"
"C8","Авторизация в ЛК.Валидные логин и пароль","","Переход в личный кабинет ","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Critical","","Авторизация в ЛК","1","","Главная страница платформы > Авторизация в ЛК","","1. Ввести валидный логин
2. Ввести валидный пароль
3. Нажать кнопку Войти","","","","","","Master","S1","Smoke & Sanity","Maria Bondarenko","10/16/2022 3:31 PM"
"C62","Авторизация в ЛК.Валидные логин/невалидный пароль","","Сообщение об ошибке ""Неверный пароль"". Переход в ЛК заблокирован","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Critical","","Авторизация в ЛК","1","","Главная страница платформы > Авторизация в ЛК","","1. Ввести валидный логин
2. Ввести невалидный пароль
3. Нажать кнопку Войти","","","","","","Master","S1","Smoke & Sanity","Maria Bondarenko","10/16/2022 3:33 PM"
"C63","Авторизация в ЛК.Невалидные логин/валидный пароль","","Сообщение об ошибке ""Неверный логин"". Переход в ЛК заблокирован","1.Запустить браузер Chrom 
2.Перейти по ссылке https://qa.neapro.site ","Critical","","Авторизация в ЛК","1","","Главная страница платформы > Авторизация в ЛК","","1. Ввести невалидный логин
2. Ввести валидный пароль
3. Нажать кнопку Войти","","","","","","Master","S1","Smoke & Sanity","Maria Bondarenko","10/16/2022 3:34 PM"
"C12","Авторизация в ЛК .Существующий пользователь заблокирован модерацией","","Переход в ЛК заблокирован. Сообщение об ошибке","1.Запустить браузер Chrom 
2. Перейти в админ-панель сайта
3. Заблокировать пользователя
4. Перейти по ссылке https://qa.neapro.site ","Medium","","Авторизация в ЛК","1","","Главная страница платформы > Авторизация в ЛК","","1. Ввести валидный логин
2. Ввести валидный пароль
3. Нажать кнопку Войти","","","","","","Master","S1","Other","Maria Bondarenko","10/16/2022 5:07 PM"
